,Uniprot Number,Subcellular Location
4165,P25092    ,Endoplasmic Reticulum
4166,P25092    ,Plasma Membrane
4167,P25092    ,Membrane
4168,P25092    ,Integral Component Of Membrane
4169,P25092    ,Endoplasmic Reticulum Membrane
4175,Q02846    ,Endoplasmic Reticulum
4176,Q02846    ,Cell Projection
4177,Q02846    ,Membrane
4178,Q02846    ,Endoplasmic Reticulum Membrane
4180,Q02846    ,Photoreceptor Outer Segment
4181,Q02846    ,Plasma Membrane
4182,Q02846    ,Integral Component Of Plasma Membrane
4183,Q02846    ,Nuclear Outer Membrane
4185,Q02846    ,Photoreceptor Disc Membrane
4186,Q02846    ,Photoreceptor Outer Segment Membrane
4187,Q02846    ,Integral Component Of Membrane
4189,P51841    ,Rod Photoreceptor Outer Segment
4190,P51841    ,Integral Component Of Plasma Membrane
4191,P51841    ,Nuclear Outer Membrane
4192,P51841    ,Plasma Membrane
4193,P51841    ,Photoreceptor Disc Membrane
4194,P51841    ,Membrane
4197,P51841    ,Integral Component Of Membrane
4199,P51841    ,Cell Projection
4201,P16066    ,Plasma Membrane
4203,P16066    ,Receptor Complex
4205,P16066    ,Integral Component Of Membrane
4207,P16066    ,Membrane
4210,P20594    ,Integral Component Of Plasma Membrane
4211,P20594    ,Plasma Membrane
4216,P20594    ,Integral Component Of Membrane
4218,P20594    ,Membrane
4222,Q02750    ,Focal Adhesion
4223,Q02750    ,Cytosol
4224,Q02750    ,Golgi Apparatus
4225,Q02750    ,Late Endosome
4226,Q02750    ,Early Endosome
4227,Q02750    ,Mitochondrion
4228,Q02750    ,Nucleus
4229,Q02750    ,Cytoplasm
4264,Q02750    ,Endoplasmic Reticulum
4265,Q02750    ,Plasma Membrane
4268,Q02750    ,Cytoskeleton
4270,Q02750    ,Membrane
4271,Q02750    ,Microtubule Organizing Center
4276,P36507    ,Perinuclear Region Of Cytoplasm
4277,P36507    ,Cytoplasmic Side Of Plasma Membrane
4278,P36507    ,Focal Adhesion
4279,P36507    ,Cell-Cell Junction
4280,P36507    ,Microtubule
4281,P36507    ,Cytosol
4282,P36507    ,Golgi Apparatus
4284,P36507    ,Endoplasmic Reticulum
4285,P36507    ,Peroxisomal Membrane
4286,P36507    ,Late Endosome
4287,P36507    ,Early Endosome
4288,P36507    ,Mitochondrion
4289,P36507    ,Nucleus
4290,P36507    ,Extracellular Region
4291,P36507    ,Cytoplasm
4325,P36507    ,Membrane
4330,P46734    ,Membrane
4331,P46734    ,Cytoplasm
4332,P46734    ,Cytosol
4336,P46734    ,Nucleoplasm
4340,P45985    ,Nucleus
4341,P45985    ,Cytoplasm
4345,P45985    ,Cytosol
4349,P45985    ,Perikaryon
4350,P45985    ,Dendrite Cytoplasm
4351,P45985    ,Axon
4355,Q13163    ,Cytoplasm
4356,Q13163    ,Cytosol
4357,Q13163    ,Nucleus
4358,Q13163    ,Spindle
4360,P52564    ,Cytoplasm
4361,P52564    ,Cytosol
4367,P52564    ,Nucleoplasm
4373,P52564    ,Cytoskeleton
4375,P52564    ,Nucleus
4380,O14733    ,Cytoplasm
4381,O14733    ,Nucleus
4383,O14733    ,Cytosol
4392,Q13233    ,Cytoplasm
4393,Q13233    ,Cytosol
4398,Q02779    ,Cytoplasm
4400,Q16584    ,Cytoskeleton
4401,Q16584    ,Cytoplasm
4402,Q16584    ,Microtubule Organizing Center
4403,Q16584    ,Membrane
4404,Q16584    ,Microtubule
4405,Q16584    ,Centrosome
4408,Q12852    ,Plasma Membrane
4409,Q12852    ,Cytoplasm
4410,Q12852    ,Membrane
4417,Q12852    ,Cytosol
4418,Q12852    ,Growth Cone
4419,Q12852    ,Axon
4423,O43283    ,Membrane
4424,O43283    ,Cytoplasm
4429,Q99558    ,Cytoplasm
4430,Q99558    ,Cytosol
4450,Q99558    ,Intracellular Membrane-Bounded Organelle
4452,Q99558    ,Nucleoplasm
4453,Q99558    ,Fibrillar Center
4459,Q56UN5    ,Cytoplasm
4461,Q9Y2U5    ,Nucleus
4462,Q9Y2U5    ,Cytoplasm
4466,Q9Y2U5    ,Cytosol
4467,Q9Y2U5    ,Nucleoplasm
4471,Q9NYL2    ,Cytoplasm
4472,Q9NYL2    ,Cytosol
4474,Q9NYL2    ,Nucleus
4482,Q99759    ,Cytoplasm
4483,Q99759    ,Cytosol
4485,Q9Y6R4    ,Cytoplasm
4486,Q9Y6R4    ,Perinuclear Region Of Cytoplasm
4491,Q99683    ,Protein-Containing Complex
4492,Q99683    ,Protein Kinase Complex
4493,Q99683    ,Cytosol
4496,Q99683    ,External Side Of Plasma Membrane
4498,Q99683    ,Cytoplasm
4500,Q99683    ,Endoplasmic Reticulum
4506,O43318    ,Nucleus
4507,O43318    ,Ikappab Kinase Complex
4508,O43318    ,Endosome Membrane
4513,O43318    ,Cytosol
4542,O43318    ,Plasma Membrane
4544,O43318    ,Membrane
4546,O43318    ,Cytoplasm
4550,P41279    ,Cytosol
4551,P41279    ,Cytoplasm
4568,Q92918    ,Membrane
4569,Q92918    ,Cytoplasm
4571,Q12851    ,Golgi Membrane
4572,Q12851    ,Cytoplasm
4573,Q12851    ,Cell
4574,Q12851    ,Golgi Apparatus
4575,Q12851    ,Membrane
4576,Q12851    ,Plasma Membrane
4578,Q12851    ,Basolateral Plasma Membrane
4582,Q8IVH8    ,Cytoplasm
4584,O95819    ,Cytoplasm
4586,O95819    ,Focal Adhesion
4590,Q9Y4K4    ,Cytoplasm
4595,Q8N4C8    ,Extracellular Exosome
4596,Q8N4C8    ,Golgi Apparatus
4597,Q8N4C8    ,Cytoplasm
4599,Q8N4C8    ,Cytosol
4600,Q8N4C8    ,Cell Projection
4601,Q8N4C8    ,Synapse
4604,Q8N4C8    ,Cell Junction
4606,Q8N4C8    ,Postsynaptic Density
4608,Q8N4C8    ,Axon
4609,Q8N4C8    ,Dendrite
4611,Q8NEV4    ,Cytoskeleton
4612,Q8NEV4    ,Myosin Complex
4613,Q8NEV4    ,Cytoplasm
4615,Q8NEV4    ,Filopodium Tip
4617,Q8NEV4    ,Stereocilium
4618,Q8NEV4    ,Stereocilium Tip
4621,Q8NEV4    ,Filamentous Actin
4622,Q8NEV4    ,Filopodium
4624,Q8NEV4    ,Cell Projection
4626,Q8WXR4    ,Myosin Complex
4627,Q8WXR4    ,Cytoskeleton
4629,Q8WXR4    ,Cytoplasm
4630,Q8WXR4    ,Cell Projection
4631,Q8WXR4    ,Stereocilium
4633,Q8WXR4    ,Stereocilium Tip
4635,Q7Z2Y5    ,Cytoplasm
4637,O95747    ,Extracellular Exosome
4638,O95747    ,Cytoplasm
4639,O95747    ,Cytosol
4643,Q13153    ,Cytoplasm
4644,Q13153    ,Nucleoplasm
4645,Q13153    ,Protein-Containing Complex
4647,Q13153    ,Invadopodium
4648,Q13153    ,Plasma Membrane
4651,Q13153    ,Nuclear Membrane
4652,Q13153    ,Actin Filament
4653,Q13153    ,Dendrite
4654,Q13153    ,Axon
4655,Q13153    ,Z Disc
4656,Q13153    ,Intercalated Disc
4657,Q13153    ,Cell-Cell Junction
4658,Q13153    ,Ruffle
4664,Q13153    ,Cytosol
4703,Q13153    ,Lamellipodium
4705,Q13153    ,Membrane
4712,Q13153    ,Cell Projection
4714,Q13153    ,Nucleus
4715,Q13153    ,Chromosome
4716,Q13153    ,Cell Junction
4717,Q13153    ,Ruffle Membrane
4718,Q13153    ,Focal Adhesion
4725,Q13177    ,Membrane
4726,Q13177    ,Nucleus
4727,Q13177    ,Cytoplasm
4729,Q13177    ,Perinuclear Region Of Cytoplasm
4732,Q13177    ,Cell-Cell Junction
4734,Q13177    ,Cytosol
4736,Q13177    ,Plasma Membrane
4760,Q13177    ,Glutamatergic Synapse
4761,Q13177    ,Postsynaptic Density
4763,O75914    ,Cytoplasm
4764,O75914    ,Plasma Membrane
4766,O75914    ,Cytosol
4783,O75914    ,Endosome
4784,O75914    ,Glutamatergic Synapse
4785,O75914    ,Postsynaptic Density
4787,O96013    ,Adherens Junction
4788,O96013    ,Focal Adhesion
4789,O96013    ,Golgi Apparatus
4790,O96013    ,Cytoplasm
4794,Q9P286    ,Cytoplasm
4795,Q9P286    ,Nucleoplasm
4796,Q9P286    ,Synapse
4797,Q9P286    ,Mitochondrion
4800,Q9P286    ,Nucleus
4805,Q9NQU5    ,Cytoplasm
4806,Q9NQU5    ,Cell Junction
4807,Q9NQU5    ,Nucleoplasm
4808,Q9NQU5    ,Fibrillar Center
4809,Q9NQU5    ,Nucleus
4814,Q96KB5    ,Nucleus
4816,Q9H2G2    ,Cytoplasm
4817,Q9H2G2    ,Perinuclear Region Of Cytoplasm
4818,Q9H2G2    ,Cell Leading Edge
4820,Q9H2G2    ,Extracellular Exosome
4827,O94804    ,Extracellular Exosome
4828,O94804    ,Plasma Membrane
4829,O94804    ,Cytoplasm
4830,O94804    ,Specific Granule Membrane
4833,O94804    ,Membrane
4836,Q9Y6E0    ,Cytoplasm
4838,Q9Y6E0    ,Golgi Apparatus
4839,Q9Y6E0    ,Extracellular Exosome
4842,Q9Y6E0    ,Nucleus
4844,Q9Y6E0    ,Cytosol
4846,Q9Y6E0    ,Nucleoplasm
4848,Q9Y6E0    ,Nucleolus
4849,Q9Y6E0    ,Membrane
4856,O00506    ,Golgi Apparatus
4857,O00506    ,Cytoplasm
4858,O00506    ,Extracellular Exosome
4860,O00506    ,Cell
4861,O00506    ,Golgi Membrane
4867,Q9P289    ,Golgi Apparatus
4868,Q9P289    ,Cytoplasm
4871,Q9P289    ,Membrane
4872,Q9P289    ,Vesicle Membrane
4873,Q9P289    ,Perinuclear Region Of Cytoplasm
4874,Q9P289    ,Cell Periphery
4877,Q9P289    ,Cytosol
4878,Q9P289    ,Golgi-Associated Vesicle
4879,Q9P289    ,Apical Plasma Membrane
4880,Q9P289    ,Extracellular Exosome
4883,Q9P289    ,Golgi Membrane
4889,Q13188    ,Cytoplasm
4891,Q13188    ,Cytosol
4897,Q13188    ,Protein-Containing Complex
4900,Q13188    ,Nucleus
4904,Q9UEW8    ,Extrinsic Component Of Membrane
4905,Q9UEW8    ,Cytosol
4907,Q9UEW8    ,Cytoplasm
4908,Q9UEW8    ,Intracellular Membrane-Bounded Organelle
4910,Q9UEW8    ,Nucleoplasm
4912,Q9UEW8    ,Cytoskeleton
4915,Q9UEW8    ,Apical Plasma Membrane
4916,Q9UEW8    ,Basolateral Plasma Membrane
4917,Q9UEW8    ,Membrane
4919,Q9UEW8    ,Nucleus
4923,Q13043    ,Cytoplasm
4926,Q13043    ,Nucleus
4929,Q13043    ,Cytosol
4935,Q13043    ,Protein-Containing Complex
4936,Q13043    ,Nuclear Body
4938,Q13043    ,Nucleoplasm
4946,Q7RTN6    ,Cytoplasm
4947,Q7RTN6    ,Nucleus
4949,Q7RTN6    ,Cytosol
4952,Q7RTN6    ,Nucleoplasm
4958,Q9C0K7    ,Cytoplasm
4959,Q9C0K7    ,Nucleus
4965,Q9C0K7    ,Cytosol
4967,Q9C0K7    ,Aggresome
4970,Q7L7X3    ,Cytoplasm
4972,Q7L7X3    ,Perinuclear Region Of Cytoplasm
4973,Q7L7X3    ,Microtubule Cytoskeleton
4974,Q7L7X3    ,Extracellular Exosome
4976,Q7L7X3    ,Cytosol
4990,Q7L7X3    ,Cell
4992,Q9UL54    ,Integral Component Of Membrane
4993,Q9UL54    ,Cytoplasm
4994,Q9UL54    ,Cell Projection
4995,Q9UL54    ,Cytoskeleton
4996,Q9UL54    ,Membrane
4997,Q9UL54    ,Nucleus
4998,Q9UL54    ,Cytoplasmic Vesicle
5001,Q9UL54    ,Cytoplasmic Vesicle Membrane
5002,Q9UL54    ,Dendrite
5003,Q9UL54    ,Axonal Growth Cone
5004,Q9UL54    ,Dendritic Growth Cone
5005,Q9UL54    ,Neuron Projection
5006,Q9UL54    ,Axon
5007,Q9UL54    ,Actin Cytoskeleton
5010,Q9UL54    ,Receptor Complex
5011,Q9UL54    ,Cytosol
5012,Q9UL54    ,Nucleolus
5013,Q9UL54    ,Nucleoplasm
5020,Q9H2K8    ,Cytoplasm
5022,Q9H2K8    ,Membrane
5023,Q9H2K8    ,Plasma Membrane
5027,Q9UKE5    ,Cytoplasm
5028,Q9UKE5    ,Cytoskeleton
5029,Q9UKE5    ,Recycling Endosome
5030,Q9UKE5    ,Nucleus
5031,Q9UKE5    ,Apical Plasma Membrane
5032,Q9UKE5    ,Extracellular Exosome
5038,Q9UKE5    ,Cytosol
5039,Q9UKE5    ,Nucleoplasm
5040,Q9UKE5    ,Postsynaptic Density
5041,Q9UKE5    ,Intracellular Component
5042,Q9UKE5    ,Glutamatergic Synapse
5043,Q9UKE5    ,Presynapse
5047,Q9UKE5    ,Endosome
5049,Q04771    ,Apical Part Of Cell
5050,Q04771    ,Integral Component Of Plasma Membrane
5051,Q04771    ,Membrane
5052,Q04771    ,Integral Component Of Membrane
5055,Q04771    ,Activin Receptor Complex
5057,Q04771    ,Bmp Receptor Complex
5058,Q04771    ,Receptor Complex
5059,Q04771    ,Plasma Membrane
5061,P36896    ,Activin Receptor Complex
5062,P36896    ,Receptor Complex
5063,P36896    ,Cell Surface
5064,P36896    ,Integral Component Of Plasma Membrane
5067,P36896    ,Plasma Membrane
5072,P36896    ,Cytosol
5073,P36896    ,Membrane
5074,P36896    ,Integral Component Of Membrane
5079,Q8NER5    ,Activin Receptor Complex
5081,Q8NER5    ,Receptor Complex
5082,Q8NER5    ,Plasma Membrane
5084,Q8NER5    ,Membrane
5085,Q8NER5    ,Integral Component Of Membrane
5089,P27037    ,Cell Surface
5090,P27037    ,Membrane
5091,P27037    ,Integral Component Of Membrane
5094,P27037    ,Receptor Complex
5095,P27037    ,Integral Component Of Plasma Membrane
5096,P27037    ,Inhibin-Betaglycan-Actrii Complex
5097,P27037    ,Cytoplasm
5098,P27037    ,Activin Receptor Complex
5100,P27037    ,Plasma Membrane
5113,Q13705    ,Receptor Complex
5114,Q13705    ,Integral Component Of Plasma Membrane
5115,Q13705    ,Cytoplasm
5116,Q13705    ,Activin Receptor Complex
5118,Q13705    ,Plasma Membrane
5130,Q13705    ,Protein-Containing Complex
5131,Q13705    ,Membrane
5134,Q13705    ,Integral Component Of Membrane
5137,P37023    ,Plasma Membrane
5138,P37023    ,Integral Component Of Plasma Membrane
5139,P37023    ,Bmp Receptor Complex
5140,P37023    ,Receptor Complex
5143,P37023    ,Cell Surface
5144,P37023    ,Neuronal Cell Body
5145,P37023    ,Dendrite
5147,P37023    ,Membrane
5151,P37023    ,Integral Component Of Membrane
5153,Q16671    ,Receptor Complex
5154,Q16671    ,Plasma Membrane
5156,Q16671    ,Integral Component Of Plasma Membrane
5157,Q16671    ,Membrane
5158,Q16671    ,Integral Component Of Membrane
5162,Q8NFD2    ,Nucleus
5163,Q8NFD2    ,Cell Projection
5164,Q8NFD2    ,Cytoplasm
5167,P10398    ,Cytosol
5168,P10398    ,Mitochondrion
5176,P36894    ,Plasma Membrane
5177,P36894    ,Cell Surface
5178,P36894    ,Hfe-Transferrin Receptor Complex
5179,P36894    ,External Side Of Plasma Membrane
5180,P36894    ,Integral Component Of Membrane
5181,P36894    ,Caveola
5183,P36894    ,Receptor Complex
5194,P36894    ,Neuronal Cell Body
5195,P36894    ,Dendrite
5196,P36894    ,Membrane
5201,O00238    ,Hfe-Transferrin Receptor Complex
5202,O00238    ,Plasma Membrane
5203,O00238    ,Receptor Complex
5204,O00238    ,Integral Component Of Plasma Membrane
5215,O00238    ,Neuronal Cell Body
5216,O00238    ,Dendrite
5218,O00238    ,Membrane
5219,O00238    ,Integral Component Of Membrane
5225,Q13873    ,Adherens Junction
5226,Q13873    ,Plasma Membrane
5227,Q13873    ,Extracellular Space
5228,Q13873    ,Spanning Component Of Plasma Membrane
5229,Q13873    ,Caveola
5230,Q13873    ,Integral Component Of Plasma Membrane
5232,Q13873    ,Receptor Complex
5243,Q13873    ,Nucleoplasm
5244,Q13873    ,Neuronal Cell Body
5245,Q13873    ,Dendrite
5246,Q13873    ,Apical Plasma Membrane
5247,Q13873    ,Basal Plasma Membrane
5249,Q13873    ,Cytoplasm
5250,Q13873    ,Postsynaptic Density
5251,Q13873    ,Cell Surface
5253,Q13873    ,Membrane
5256,Q13873    ,Integral Component Of Membrane
5259,P15056    ,Cytoplasm
5260,P15056    ,Membrane
5261,P15056    ,Nucleus
5262,P15056    ,Plasma Membrane
5267,P15056    ,Cytosol
5268,P15056    ,Mitochondrion
5322,P15056    ,Intracellular Membrane-Bounded Organelle
5325,Q13418    ,Cell Junction
5326,Q13418    ,Cell Projection
5327,Q13418    ,Membrane
5328,Q13418    ,Cytoplasm
5329,Q13418    ,Plasma Membrane
5330,Q13418    ,Lamellipodium
5331,Q13418    ,Sarcomere
5332,Q13418    ,Focal Adhesion
5336,Q13418    ,Stress Fiber
5337,Q13418    ,Cytosol
5342,Q13418    ,Nucleoplasm
5345,Q13418    ,Dendritic Shaft
5346,Q13418    ,Terminal Bouton
5347,Q13418    ,Costamere
5348,Q13418    ,Neuronal Cell Body
5349,Q13418    ,Protein-Containing Complex
5350,Q13418    ,Axon
5352,Q13418    ,Cell-Cell Junction
5357,P51617    ,Lipid Droplet
5358,P51617    ,Plasma Membrane
5359,P51617    ,Cytoplasm
5360,P51617    ,Nucleus
5361,P51617    ,Endosome Membrane
5389,P51617    ,Cytosol
5423,P51617    ,Nucleoplasm
5424,P51617    ,Membrane
5432,O43187    ,Plasma Membrane
5433,O43187    ,Cytoplasm
5434,O43187    ,Nucleus
5435,O43187    ,Endosome Membrane
5457,O43187    ,Cytosol
5465,Q9Y616    ,Cytoplasm
5466,Q9Y616    ,Nucleus
5467,Q9Y616    ,Plasma Membrane
5473,Q9NWZ3    ,Cytoplasm
5476,Q9NWZ3    ,Nucleus
5477,Q9NWZ3    ,Endosome Membrane
5489,Q9NWZ3    ,Plasma Membrane
5509,Q9NWZ3    ,Cytosol
5528,Q9NWZ3    ,Extracellular Space
5530,Q8IVT5    ,Membrane
5532,Q8IVT5    ,Endoplasmic Reticulum
5533,Q8IVT5    ,Cytosol
5564,Q8IVT5    ,Protein-Containing Complex
5567,Q8IVT5    ,Cell Projection
5568,Q8IVT5    ,Cytoplasm
5571,Q8IVT5    ,Plasma Membrane
5573,Q8IVT5    ,Endoplasmic Reticulum Membrane
5576,Q8IVT5    ,Ruffle Membrane
5578,Q6VAB6    ,Membrane
5579,Q6VAB6    ,Cytoplasm
5582,Q6VAB6    ,Plasma Membrane
5583,Q6VAB6    ,Cytosol
5585,P53667    ,Cytoplasm
5586,P53667    ,Lamellipodium
5587,P53667    ,Neuron Projection
5590,P53667    ,Nucleus
5591,P53667    ,Cytosol
5596,P53667    ,Nuclear Speck
5600,P53667    ,Membrane
5601,P53667    ,Focal Adhesion
5604,P53667    ,Cell Projection
5606,P53667    ,Cytoskeleton
5613,P53671    ,Mitotic Spindle
5614,P53671    ,Cytoplasm
5616,P53671    ,Nucleus
5619,P53671    ,Cis-Golgi Network
5625,P53671    ,Cytoskeleton
5626,P53671    ,Spindle
5630,Q38SD2    ,Cytoplasm
5631,Q38SD2    ,Cytosol
5632,Q38SD2    ,Mitochondrion
5635,Q5S007    ,Endoplasmic Reticulum Exit Site
5636,Q5S007    ,Cytoplasm
5637,Q5S007    ,Golgi Apparatus
5638,Q5S007    ,Amphisome
5639,Q5S007    ,Microvillus
5640,Q5S007    ,Autolysosome
5641,Q5S007    ,Multivesicular Body
5642,Q5S007    ,Internal Vesicle
5643,Q5S007    ,Endoplasmic Reticulum
5644,Q5S007    ,Caveola Neck
5645,Q5S007    ,Neuron Projection
5646,Q5S007    ,Growth Cone
5647,Q5S007    ,Cytosol
5648,Q5S007    ,Plasma Membrane
5649,Q5S007    ,Wnt Signalosome
5651,Q5S007    ,Golgi-Associated Vesicle
5653,Q5S007    ,Terminal Bouton
5655,Q5S007    ,Cytoplasmic Vesicle
5658,Q5S007    ,Endosome
5659,Q5S007    ,Lysosome
5660,Q5S007    ,Mitochondrial Matrix
5661,Q5S007    ,Mitochondrial Inner Membrane
5662,Q5S007    ,Mitochondrial Outer Membrane
5663,Q5S007    ,Dendrite
5664,Q5S007    ,Axon
5665,Q5S007    ,Perikaryon
5666,Q5S007    ,Mitochondrial Membrane
5667,Q5S007    ,Inclusion Body
5670,Q5S007    ,Extracellular Exosome
5671,Q5S007    ,Extracellular Space
5672,Q5S007    ,Neuronal Cell Body
5675,Q5S007    ,Dendrite Cytoplasm
5677,Q5S007    ,Cytoplasmic Side Of Mitochondrial Outer Membrane
5680,Q5S007    ,Mitochondrion
5683,Q5S007    ,Membrane Raft
5695,Q5S007    ,Intracellular Membrane-Bounded Organelle
5696,Q5S007    ,Nucleoplasm
5697,Q5S007    ,Cell
5698,Q5S007    ,Postsynapse
5700,Q5S007    ,Synapse
5707,Q5S007    ,Membrane
5710,Q5S007    ,Ribonucleoprotein Complex
5711,Q5S007    ,Presynaptic Cytosol
5712,Q5S007    ,Glutamatergic Synapse
5718,Q5S007    ,Synaptic Vesicle
5720,Q5S007    ,Trans-Golgi Network
5735,Q5S007    ,Cell Junction
5738,Q5S007    ,Cell Projection
5740,Q5S007    ,Synaptic Vesicle Membrane
5742,Q5S007    ,Golgi Membrane
5743,Q5S007    ,Endoplasmic Reticulum Membrane
5748,P04049    ,Mitochondrion
5749,P04049    ,Cytoplasm
5750,P04049    ,Nucleus
5751,P04049    ,Plasma Membrane
5752,P04049    ,Membrane
5757,P04049    ,Nuclear Speck
5758,P04049    ,Cell
5761,P04049    ,Pseudopodium
5762,P04049    ,Cytosol
5764,P04049    ,Mitochondrial Outer Membrane
5814,P04049    ,Golgi Apparatus
5817,Q13546    ,Protein-Containing Complex
5818,Q13546    ,Receptor Complex
5819,Q13546    ,Death-Inducing Signaling Complex
5820,Q13546    ,Mitochondrion
5821,Q13546    ,Ripoptosome
5822,Q13546    ,Endosome Membrane
5825,Q13546    ,Cytosol
5875,Q13546    ,Membrane Raft
5877,Q13546    ,Membrane
5878,Q13546    ,Plasma Membrane
5879,Q13546    ,Cytoplasm
5883,O43353    ,Cytoplasm
5886,O43353    ,Protein-Containing Complex
5890,O43353    ,Vesicle
5891,O43353    ,Cytoskeleton
5893,O43353    ,Cytosol
5894,O43353    ,Mitochondrion
5910,Q9Y572    ,Protein-Containing Complex
5911,Q9Y572    ,Cytosol
5923,Q9Y572    ,Mitochondrion
5924,Q9Y572    ,Plasma Membrane
5927,Q9Y572    ,Cytoplasm
5929,Q9Y572    ,Membrane
5931,P57078    ,Cytoplasm
5932,P57078    ,Membrane
5938,Q15569    ,Cytoplasmic Vesicle
5939,Q15569    ,Cytoplasm
5940,Q15569    ,Nucleus
5941,Q15569    ,Cytosol
5944,Q96S53    ,Nucleus
5945,Q96S53    ,Cytoplasm
5947,Q96S53    ,Nuclear Body
5948,Q96S53    ,Nucleoplasm
5954,P36897    ,Membrane
5955,P36897    ,Bicellular Tight Junction
5956,P36897    ,Cell Junction
5957,P36897    ,Plasma Membrane
5958,P36897    ,Integral Component Of Membrane
5960,P36897    ,Cell Surface
5963,P36897    ,Membrane Raft
5964,P36897    ,Endosome
5965,P36897    ,Nucleus
5969,P36897    ,Receptor Complex
5973,P36897    ,Activin Receptor Complex
6016,P36897    ,Cell
6018,P37173    ,Membrane
6019,P37173    ,Plasma Membrane
6020,P37173    ,Membrane Raft
6023,P37173    ,Receptor Complex
6025,P37173    ,Integral Component Of Membrane
6026,P37173    ,External Side Of Plasma Membrane
6027,P37173    ,Caveola
6070,P37173    ,Cytosol
6072,P37173    ,Cell Surface
6074,P37173    ,Integral Component Of Plasma Membrane
6076,P37173    ,Cytoplasm
6085,Q59H18    ,Cytoplasm
6087,Q59H18    ,Nucleus
6093,Q6ZMQ8    ,Membrane
6094,Q6ZMQ8    ,Perinuclear Region Of Cytoplasm
6095,Q6ZMQ8    ,Cytoplasm
6098,Q6ZMQ8    ,Integral Component Of Membrane
6100,P00519    ,Postsynapse
6101,P00519    ,Nucleus
6102,P00519    ,Cytoplasm
6103,P00519    ,Protein-Containing Complex
6104,P00519    ,Neuronal Cell Body
6105,P00519    ,Dendrite
6107,P00519    ,Mitochondrion
6108,P00519    ,Perinuclear Region Of Cytoplasm
6109,P00519    ,Actin Cytoskeleton
6114,P00519    ,Cytosol
6118,P00519    ,Nucleoplasm
6122,P00519    ,Nucleolus
6125,P00519    ,Nuclear Body
6127,P00519    ,Cell
6129,P00519    ,Cell Leading Edge
6135,P00519    ,Membrane
6137,P00519    ,Cytoskeleton
6138,P00519    ,Nuclear Membrane
6143,P42684    ,Actin Cytoskeleton
6144,P42684    ,Cytosol
6146,P42684    ,Cell
6147,P42684    ,Cytoskeleton
6148,P42684    ,Cytoplasm
6151,Q9UM73    ,Extracellular Exosome
6152,Q9UM73    ,Integral Component Of Plasma Membrane
6154,Q9UM73    ,Receptor Complex
6156,Q9UM73    ,Protein-Containing Complex
6158,Q9UM73    ,Plasma Membrane
6159,Q9UM73    ,Membrane
6162,Q9UM73    ,Integral Component Of Membrane
6165,P30530    ,Host Cell Surface
6166,P30530    ,Extracellular Exosome
6167,P30530    ,Cell Surface
6168,P30530    ,Integral Component Of Plasma Membrane
6170,P30530    ,Extracellular Space
6171,P30530    ,Receptor Complex
6173,P30530    ,Plasma Membrane
6177,P30530    ,Intracellular Membrane-Bounded Organelle
6178,P30530    ,Actin Cytoskeleton
6181,P30530    ,Membrane
6182,P30530    ,Integral Component Of Membrane
6185,P51451    ,Cytosol
6186,P51451    ,Plasma Membrane
6187,P51451    ,Membrane
6190,P51813    ,Ruffle Membrane
6191,P51813    ,Cytosol
6193,P51813    ,Plasma Membrane
6194,P51813    ,Nucleoplasm
6195,P51813    ,Cytoplasm
6198,Q06187    ,Cytoplasm
6199,Q06187    ,Membrane Raft
6200,Q06187    ,Plasma Membrane
6202,Q06187    ,Cytosol
6204,Q06187    ,Nucleus
6246,Q06187    ,Mast Cell Granule
6247,Q06187    ,Cytoplasmic Vesicle
6250,Q06187    ,Perinuclear Region Of Cytoplasm
6253,Q06187    ,Membrane
6259,P07333    ,Plasma Membrane
6260,P07333    ,Cell Surface
6261,P07333    ,Integral Component Of Plasma Membrane
6264,P07333    ,Receptor Complex
6269,P07333    ,Intracellular Membrane-Bounded Organelle
6271,P07333    ,Nucleoplasm
6272,P07333    ,Membrane
6275,P07333    ,Integral Component Of Membrane
6279,P41240    ,Cytoplasm
6280,P41240    ,Extracellular Exosome
6282,P41240    ,Plasma Membrane
6284,P41240    ,Cytosol
6297,P41240    ,Membrane Raft
6299,P41240    ,Cell-Cell Junction
6301,P41240    ,Membrane
6306,Q08345    ,Extracellular Exosome
6307,Q08345    ,Extracellular Space
6308,Q08345    ,Integral Component Of Plasma Membrane
6309,Q08345    ,Receptor Complex
6311,Q08345    ,Plasma Membrane
6315,Q08345    ,Membrane
6317,Q08345    ,Integral Component Of Membrane
6319,Q08345    ,Extracellular Region
6323,Q16832    ,Focal Adhesion
6324,Q16832    ,Integral Component Of Plasma Membrane
6325,Q16832    ,Receptor Complex
6327,Q16832    ,Plasma Membrane
6328,Q16832    ,Actin Cytoskeleton
6330,Q16832    ,Apical Plasma Membrane
6332,Q16832    ,Membrane
6335,Q16832    ,Integral Component Of Membrane
6338,P00533    ,Extracellular Region
6339,P00533    ,Integral Component Of Membrane
6340,P00533    ,Endosome
6341,P00533    ,Golgi Apparatus
6342,P00533    ,Endoplasmic Reticulum
6343,P00533    ,Plasma Membrane
6344,P00533    ,Membrane
6345,P00533    ,Nucleus
6347,P00533    ,Endoplasmic Reticulum Membrane
6349,P00533    ,Nuclear Membrane
6351,P00533    ,Golgi Membrane
6352,P00533    ,Endosome Membrane
6354,P00533    ,Membrane Raft
6355,P00533    ,Perinuclear Region Of Cytoplasm
6356,P00533    ,Cytoplasm
