,Gene Name,Uniprot Number,Subcellular Location
3701,FGFR1,P11362,Membrane
3702,FGFR1,P11362,Cytoplasmic Vesicle
3703,FGFR1,P11362,Cytoplasm
3705,FGFR2,P21802,Integral Component Of Membrane
3706,FGFR2,P21802,Membrane
3707,FGFR2,P21802,Cytoplasmic Vesicle
3708,FGFR2,P21802,Golgi Apparatus
3709,FGFR2,P21802,Extracellular Region
3711,FGFR2,P21802,Plasma Membrane
3715,FGFR2,P21802,Excitatory Synapse
3716,FGFR2,P21802,Collagen-Containing Extracellular Matrix
3719,FGFR2,P21802,Cell Surface
3720,FGFR2,P21802,Cell Cortex
3721,FGFR2,P21802,Integral Component Of Plasma Membrane
3723,FGFR2,P21802,Cytoplasm
3725,FGFR2,P21802,Nucleus
3727,FGFR2,P21802,Receptor Complex
3791,FGFR3,P22607,Transport Vesicle
3792,FGFR3,P22607,Golgi Apparatus
3793,FGFR3,P22607,Plasma Membrane
3794,FGFR3,P22607,Integral Component Of Plasma Membrane
3795,FGFR3,P22607,Focal Adhesion
3797,FGFR3,P22607,Receptor Complex
3859,FGFR3,P22607,Endoplasmic Reticulum
3860,FGFR3,P22607,Cell Surface
3861,FGFR3,P22607,Cytoplasm
3862,FGFR3,P22607,Nucleus
3863,FGFR3,P22607,Integral Component Of Membrane
3864,FGFR3,P22607,Cytoplasmic Vesicle
3865,FGFR3,P22607,Extracellular Region
3867,FGFR3,P22607,Membrane
3874,FGFR4,P22455,Transport Vesicle
3875,FGFR4,P22455,Golgi Apparatus
3876,FGFR4,P22455,Plasma Membrane
3877,FGFR4,P22455,Integral Component Of Plasma Membrane
3878,FGFR4,P22455,Cell-Cell Junction
3880,FGFR4,P22455,Endoplasmic Reticulum
3881,FGFR4,P22455,Receptor Complex
3930,FGFR4,P22455,Integral Component Of Membrane
3933,FGFR4,P22455,Endosome
3934,FGFR4,P22455,Membrane
3935,FGFR4,P22455,Cytoplasm
3937,FGFR4,P22455,Extracellular Region
3944,FGR,P09769,Cytoskeleton
3945,FGR,P09769,Extracellular Exosome
3947,FGR,P09769,Ruffle Membrane
3948,FGR,P09769,Actin Cytoskeleton
3949,FGR,P09769,Plasma Membrane
3951,FGR,P09769,Secretory Granule Lumen
3952,FGR,P09769,Cytosol
3956,FGR,P09769,Extracellular Region
3957,FGR,P09769,Aggresome
3965,FGR,P09769,Mitochondrion
3966,FGR,P09769,Cytoplasm
3967,FGR,P09769,Membrane
3968,FGR,P09769,Mitochondrial Inner Membrane
3969,FGR,P09769,Cell Projection
3974,FGR,P09769,Mitochondrial Intermembrane Space
3977,FLT1,P17948,Focal Adhesion
3978,FLT1,P17948,Integral Component Of Plasma Membrane
3979,FLT1,P17948,Extracellular Space
3981,FLT1,P17948,Receptor Complex
3983,FLT1,P17948,Plasma Membrane
3986,FLT1,P17948,Actin Cytoskeleton
3989,FLT1,P17948,Endosome
3990,FLT1,P17948,Cytoplasm
3991,FLT1,P17948,Membrane
3992,FLT1,P17948,Integral Component Of Membrane
3994,FLT1,P17948,Extracellular Region
4000,FLT3,P36888,Endoplasmic Reticulum
4001,FLT3,P36888,Membrane
4002,FLT3,P36888,Integral Component Of Membrane
4003,FLT3,P36888,Endoplasmic Reticulum Lumen
4005,FLT3,P36888,Integral Component Of Plasma Membrane
4006,FLT3,P36888,Receptor Complex
4008,FLT3,P36888,Plasma Membrane
4013,FLT3,P36888,Protein-Containing Complex
4015,FLT3,P36888,Cytosol
4016,FLT3,P36888,Cytoplasm
4017,FLT3,P36888,Nucleus
4019,FLT4,P35916,Membrane
4020,FLT4,P35916,Nucleus
4021,FLT4,P35916,Cytoplasm
4022,FLT4,P35916,Extracellular Region
4023,FLT4,P35916,Plasma Membrane
4024,FLT4,P35916,Integral Component Of Plasma Membrane
4026,FLT4,P35916,Receptor Complex
4032,FLT4,P35916,Nucleoplasm
4034,FLT4,P35916,Integral Component Of Membrane
4040,FRK,P42685,Extracellular Exosome
4042,FRK,P42685,Nucleus
4043,FRK,P42685,Intracellular
4044,FRK,P42685,Specific Granule Lumen
4045,FRK,P42685,Azurophil Granule Lumen
4046,FRK,P42685,Cytosol
4048,FRK,P42685,Extracellular Region
4051,FRK,P42685,Nucleoplasm
4052,FRK,P42685,Plasma Membrane
4054,FRK,P42685,Cytoplasm
4058,FYN,P06241,Perinuclear Endoplasmic Reticulum
4059,FYN,P06241,Perinuclear Region Of Cytoplasm
4060,FYN,P06241,Mitochondrion
4061,FYN,P06241,Nucleus
4062,FYN,P06241,Membrane Raft
4063,FYN,P06241,Glial Cell Projection
4065,FYN,P06241,Cell Body
4066,FYN,P06241,Dendrite
4067,FYN,P06241,Postsynaptic Density
4070,FYN,P06241,Plasma Membrane
4072,FYN,P06241,Endosome
4082,FYN,P06241,Cytosol
4181,FYN,P06241,Cell Periphery
4186,FYN,P06241,Actin Filament
4189,FYN,P06241,Intracellular Component
4190,FYN,P06241,Glutamatergic Synapse
4193,FYN,P06241,Intracellular Membrane-Bounded Organelle
4194,FYN,P06241,Membrane
4200,FYN,P06241,Cytoplasm
4205,GAK,O14976,Cell Junction
4206,GAK,O14976,Cytoplasm
4207,GAK,O14976,Golgi Apparatus
4208,GAK,O14976,Perinuclear Region Of Cytoplasm
4209,GAK,O14976,Focal Adhesion
4212,GAK,O14976,Vesicle
4213,GAK,O14976,Membrane
4214,GAK,O14976,Intracellular Membrane-Bounded Organelle
4217,GAK,O14976,Cytosol
4225,GAK,O14976,Presynapse
4227,GRK1,Q15835,Photoreceptor Disc Membrane
4228,GRK1,Q15835,Cell Projection
4229,GRK1,Q15835,Membrane
4231,GRK1,Q15835,Photoreceptor Outer Segment
4233,GRK2,P25098,Membrane
4235,GRK2,P25098,Cytoplasm
4236,GRK2,P25098,Cilium
4237,GRK2,P25098,Plasma Membrane
4243,GRK2,P25098,Cytosol
4245,GRK2,P25098,Synapse
4253,GRK3,P35626,Plasma Membrane
4256,GRK3,P35626,Cytosol
4258,GRK4,P32298,Photoreceptor Disc Membrane
4259,GRK4,P32298,Neuronal Cell Body
4260,GRK4,P32298,Dendrite
4261,GRK4,P32298,Cytosol
4262,GRK4,P32298,Cytoplasm
4264,GRK4,P32298,Cell Cortex
4266,GRK5,P34947,Cytoplasm
4267,GRK5,P34947,Plasma Membrane
4272,GRK5,P34947,Nuclear Membrane
4273,GRK5,P34947,Nuclear Speck
4275,GRK5,P34947,Cytosol
4276,GRK5,P34947,Membrane
4279,GRK5,P34947,Nucleus
4284,GRK6,P43250,Membrane
4285,GRK6,P43250,Plasma Membrane
4291,GRK7,Q8WTQ7,Photoreceptor Disc Membrane
4292,GRK7,Q8WTQ7,Membrane
4295,GSK3A,P49840,Mitochondrion
4297,GSK3A,P49840,Postsynapse
4298,GSK3A,P49840,Microtubule
4299,GSK3A,P49840,Cytoplasm
4300,GSK3A,P49840,Apical Dendrite
4301,GSK3A,P49840,Neuronal Cell Body
4302,GSK3A,P49840,Proximal Dendrite
4303,GSK3A,P49840,Beta-Catenin Destruction Complex
4304,GSK3A,P49840,Cytosol
4306,GSK3A,P49840,Axon
4309,GSK3A,P49840,Nucleus
4313,GSK3B,P49841,Cytoplasm
4314,GSK3B,P49841,Nucleus
4316,GSK3B,P49841,Plasma Membrane
4318,GSK3B,P49841,Centrosome
4319,GSK3B,P49841,Wnt Signalosome
4320,GSK3B,P49841,Beta-Catenin Destruction Complex
4321,GSK3B,P49841,Dendrite
4322,GSK3B,P49841,Axon
4335,GSK3B,P49841,Glutamatergic Synapse
4343,GSK3B,P49841,Cytosol
4377,GSK3B,P49841,Nucleoplasm
4382,GSK3B,P49841,Mitochondrion
4383,GSK3B,P49841,Postsynapse
4384,GSK3B,P49841,Membrane
4387,GUCY2C,P25092,Endoplasmic Reticulum
4388,GUCY2C,P25092,Plasma Membrane
4389,GUCY2C,P25092,Membrane
4390,GUCY2C,P25092,Integral Component Of Membrane
4391,GUCY2C,P25092,Endoplasmic Reticulum Membrane
4397,GUCY2D,Q02846,Endoplasmic Reticulum
4398,GUCY2D,Q02846,Cell Projection
4399,GUCY2D,Q02846,Membrane
4400,GUCY2D,Q02846,Endoplasmic Reticulum Membrane
4402,GUCY2D,Q02846,Photoreceptor Outer Segment
4403,GUCY2D,Q02846,Plasma Membrane
4404,GUCY2D,Q02846,Integral Component Of Plasma Membrane
4405,GUCY2D,Q02846,Nuclear Outer Membrane
4407,GUCY2D,Q02846,Photoreceptor Disc Membrane
4408,GUCY2D,Q02846,Photoreceptor Outer Segment Membrane
4409,GUCY2D,Q02846,Integral Component Of Membrane
4411,GUCY2F,P51841,Rod Photoreceptor Outer Segment
4412,GUCY2F,P51841,Integral Component Of Plasma Membrane
4413,GUCY2F,P51841,Nuclear Outer Membrane
4414,GUCY2F,P51841,Plasma Membrane
4415,GUCY2F,P51841,Photoreceptor Disc Membrane
4416,GUCY2F,P51841,Membrane
4419,GUCY2F,P51841,Integral Component Of Membrane
4421,GUCY2F,P51841,Cell Projection
4423,HASPIN,Q8TF76,Spindle
4424,HASPIN,Q8TF76,Centrosome
4425,HASPIN,Q8TF76,Nucleus
4427,HASPIN,Q8TF76,Cytoplasm
4429,HASPIN,Q8TF76,Nucleoplasm
4431,HASPIN,Q8TF76,Chromosome
4432,HASPIN,Q8TF76,Cytoskeleton
4438,HCK,P08631,Focal Adhesion
4439,HCK,P08631,Caveola
4440,HCK,P08631,Actin Filament
4441,HCK,P08631,Lysosome
4442,HCK,P08631,Cytosol
4444,HCK,P08631,Plasma Membrane
4445,HCK,P08631,Nucleoplasm
4446,HCK,P08631,Membrane
4447,HCK,P08631,Nucleus
4448,HCK,P08631,Cell Projection
4449,HCK,P08631,Cell Junction
4450,HCK,P08631,Cytoplasm
4451,HCK,P08631,Golgi Apparatus
4452,HCK,P08631,Cytoplasmic Vesicle
4453,HCK,P08631,Cytoskeleton
4461,HCK,P08631,Transport Vesicle
4468,HIPK1,Q86Z02,Cytoplasm
4469,HIPK1,Q86Z02,Nucleus
4472,HIPK1,Q86Z02,Pml Body
4475,HIPK1,Q86Z02,Nucleoplasm
4476,HIPK1,Q86Z02,Cytosol
4477,HIPK1,Q86Z02,Centrosome
4479,HIPK1,Q86Z02,Nuclear Speck
4488,HIPK2,Q9H2X6,Rna Polymerase Ii Transcription Factor Complex
4489,HIPK2,Q9H2X6,Nucleus
4490,HIPK2,Q9H2X6,Pml Body
4492,HIPK2,Q9H2X6,Nuclear Body
4494,HIPK2,Q9H2X6,Cytoplasm
4499,HIPK2,Q9H2X6,Nucleoplasm
4513,HIPK3,Q9H422,Pml Body
4514,HIPK3,Q9H422,Cytoplasm
4515,HIPK3,Q9H422,Nucleus
4516,HIPK3,Q9H422,Nuclear Body
4517,HIPK3,Q9H422,Cytosol
4525,HIPK4,Q8NE63,Cytoplasm
4528,HIPK4,Q8NE63,Nucleus
4532,HUNK,P57058,Cytoplasm
4533,HUNK,P57058,Nucleus
4535,ICK,Q9UPZ9,Nucleus
4536,ICK,Q9UPZ9,Ciliary Base
4537,ICK,Q9UPZ9,Cilium
4539,ICK,Q9UPZ9,Ciliary Basal Body
4540,ICK,Q9UPZ9,Ciliary Tip
4542,ICK,Q9UPZ9,Cytoplasm
4544,ICK,Q9UPZ9,Fibrillar Center
4550,ICK,Q9UPZ9,Cell Projection
4551,ICK,Q9UPZ9,Cytoskeleton
4554,ICK,Q9UPZ9,Cytosol
4559,IGF1R,P08069,Plasma Membrane
4562,IGF1R,P08069,Protein Kinase Complex
4563,IGF1R,P08069,Intracellular Membrane-Bounded Organelle
4564,IGF1R,P08069,Membrane
4565,IGF1R,P08069,Integral Component Of Plasma Membrane
4566,IGF1R,P08069,Receptor Complex
4567,IGF1R,P08069,Axon
4568,IGF1R,P08069,Insulin Receptor Complex
4579,IGF1R,P08069,Cell
4581,IGF1R,P08069,Integral Component Of Membrane
4587,IKBKB,O14920,Cytoplasm
4588,IKBKB,O14920,Membrane
4589,IKBKB,O14920,Nucleus
4591,IKBKB,O14920,Membrane Raft
4593,IKBKB,O14920,Cytoplasmic Side Of Plasma Membrane
4594,IKBKB,O14920,Ikappab Kinase Complex
4597,IKBKB,O14920,Cytosol
4629,IKBKE,Q14164,Cytoplasm
4630,IKBKE,Q14164,Mitochondrial Membrane
4631,IKBKE,Q14164,Pml Body
4633,IKBKE,Q14164,Nucleus
4635,IKBKE,Q14164,Endosome Membrane
4641,IKBKE,Q14164,Cytosol
4650,IKBKE,Q14164,Nucleoplasm
4657,ILK,Q13418,Cell Junction
4658,ILK,Q13418,Cell Projection
4659,ILK,Q13418,Membrane
4660,ILK,Q13418,Cytoplasm
4661,ILK,Q13418,Plasma Membrane
4662,ILK,Q13418,Lamellipodium
4663,ILK,Q13418,Sarcomere
4664,ILK,Q13418,Focal Adhesion
4668,ILK,Q13418,Stress Fiber
4669,ILK,Q13418,Cytosol
4674,ILK,Q13418,Nucleoplasm
4677,ILK,Q13418,Dendritic Shaft
4678,ILK,Q13418,Terminal Bouton
4679,ILK,Q13418,Costamere
4680,ILK,Q13418,Neuronal Cell Body
4681,ILK,Q13418,Protein-Containing Complex
4682,ILK,Q13418,Axon
4684,ILK,Q13418,Cell-Cell Junction
4689,INSR,P06213,Nuclear Envelope
4690,INSR,P06213,Nuclear Lumen
4691,INSR,P06213,Neuronal Cell Body Membrane
4692,INSR,P06213,Dendrite Membrane
4693,INSR,P06213,External Side Of Plasma Membrane
4694,INSR,P06213,Extracellular Exosome
4696,INSR,P06213,Insulin Receptor Complex
4697,INSR,P06213,Membrane
4698,INSR,P06213,Caveola
4700,INSR,P06213,Integral Component Of Plasma Membrane
4701,INSR,P06213,Plasma Membrane
4702,INSR,P06213,Receptor Complex
4703,INSR,P06213,Axon
4706,INSR,P06213,Endosome Membrane
4726,INSR,P06213,Integral Component Of Membrane
4728,INSR,P06213,Lysosome
4731,INSR,P06213,Late Endosome
4732,INSR,P06213,Endosome
4735,INSR,P06213,Cell Body
4736,INSR,P06213,Neuronal Cell Body
4737,INSR,P06213,Dendrite
4739,INSRR,P14616,Integral Component Of Plasma Membrane
4740,INSRR,P14616,Membrane
4741,INSRR,P14616,Integral Component Of Membrane
4746,INSRR,P14616,Receptor Complex
4747,INSRR,P14616,Axon
4748,INSRR,P14616,Insulin Receptor Complex
4752,IRAK1,P51617,Lipid Droplet
4753,IRAK1,P51617,Plasma Membrane
4754,IRAK1,P51617,Cytoplasm
4755,IRAK1,P51617,Nucleus
4756,IRAK1,P51617,Endosome Membrane
4784,IRAK1,P51617,Cytosol
4818,IRAK1,P51617,Nucleoplasm
4819,IRAK1,P51617,Membrane
4827,IRAK2,O43187,Plasma Membrane
4828,IRAK2,O43187,Cytoplasm
4829,IRAK2,O43187,Nucleus
4830,IRAK2,O43187,Endosome Membrane
4852,IRAK2,O43187,Cytosol
4860,IRAK3,Q9Y616,Cytoplasm
4861,IRAK3,Q9Y616,Nucleus
4862,IRAK3,Q9Y616,Plasma Membrane
4868,IRAK4,Q9NWZ3,Cytoplasm
4871,IRAK4,Q9NWZ3,Nucleus
4872,IRAK4,Q9NWZ3,Endosome Membrane
4884,IRAK4,Q9NWZ3,Plasma Membrane
4904,IRAK4,Q9NWZ3,Cytosol
4923,IRAK4,Q9NWZ3,Extracellular Space
4925,ITK,Q08881,Nucleus
4926,ITK,Q08881,Cytosol
4931,ITK,Q08881,Cell-Cell Junction
4934,ITK,Q08881,Cytoplasm
4938,JAK1,P23458,Focal Adhesion
4939,JAK1,P23458,Cytoplasm
4940,JAK1,P23458,Nucleus
4941,JAK1,P23458,Cytosol
5122,JAK1,P23458,Endosome
5123,JAK1,P23458,Cytoskeleton
5124,JAK1,P23458,Membrane
5126,JAK1,P23458,Endomembrane System
5127,JAK2,O60674,Cytoplasm
5128,JAK2,O60674,Nucleus
5129,JAK2,O60674,Membrane
5130,JAK2,O60674,Endomembrane System
5133,JAK2,O60674,Membrane Raft
5134,JAK2,O60674,Caveola
5138,JAK2,O60674,Endosome Lumen
5139,JAK2,O60674,Cytosol
5279,JAK2,O60674,Nucleoplasm
5280,JAK2,O60674,Focal Adhesion
5281,JAK2,O60674,Plasma Membrane
5283,JAK2,O60674,Cell
5284,JAK2,O60674,Glutamatergic Synapse
5285,JAK2,O60674,Postsynapse
5286,JAK2,O60674,Nuclear Matrix
5290,JAK2,O60674,Cytoskeleton
5292,JAK3,P52333,Plasma Membrane
5297,JAK3,P52333,Cytosol
5343,JAK3,P52333,Endosome
5344,JAK3,P52333,Cytoskeleton
5345,JAK3,P52333,Membrane
5346,JAK3,P52333,Cytoplasm
5348,JAK3,P52333,Endomembrane System
5351,KALRN,O60229,Extracellular Exosome
5352,KALRN,O60229,Actin Cytoskeleton
5353,KALRN,O60229,Cytosol
5363,KALRN,O60229,Nucleoplasm
5364,KALRN,O60229,Cytoplasm
5365,KALRN,O60229,Cytoskeleton
5369,KDR,P35968,Cytoplasmic Vesicle
5370,KDR,P35968,Plasma Membrane
5371,KDR,P35968,Membrane
5372,KDR,P35968,Endoplasmic Reticulum
5373,KDR,P35968,Nucleus
5374,KDR,P35968,Extracellular Region
5375,KDR,P35968,Cytoplasm
5376,KDR,P35968,Cell Junction
5377,KDR,P35968,Endosome
5378,KDR,P35968,Integral Component Of Membrane
5380,KDR,P35968,Early Endosome
5387,KDR,P35968,Integral Component Of Plasma Membrane
5388,KDR,P35968,Sorting Endosome
5391,KDR,P35968,Membrane Raft
5395,KDR,P35968,Golgi Apparatus
5397,KDR,P35968,Receptor Complex
5443,KIT,P10721,Extracellular Space
5444,KIT,P10721,Receptor Complex
5445,KIT,P10721,Integral Component Of Plasma Membrane
5446,KIT,P10721,Plasma Membrane
5481,KIT,P10721,Fibrillar Center
5482,KIT,P10721,Mast Cell Granule
5483,KIT,P10721,Cell Surface
5484,KIT,P10721,External Side Of Plasma Membrane
5485,KIT,P10721,Cell-Cell Junction
5486,KIT,P10721,Cytoplasmic Side Of Plasma Membrane
5488,KIT,P10721,Cytoplasm
5489,KIT,P10721,Acrosomal Vesicle
5494,KIT,P10721,Integral Component Of Membrane
5495,KIT,P10721,Membrane
5497,KSR1,Q8IVT5,Membrane
5499,KSR1,Q8IVT5,Endoplasmic Reticulum
5500,KSR1,Q8IVT5,Cytosol
5531,KSR1,Q8IVT5,Protein-Containing Complex
5534,KSR1,Q8IVT5,Cell Projection
5535,KSR1,Q8IVT5,Cytoplasm
5538,KSR1,Q8IVT5,Plasma Membrane
5540,KSR1,Q8IVT5,Endoplasmic Reticulum Membrane
5543,KSR1,Q8IVT5,Ruffle Membrane
5545,KSR2,Q6VAB6,Membrane
5546,KSR2,Q6VAB6,Cytoplasm
5549,KSR2,Q6VAB6,Plasma Membrane
5550,KSR2,Q6VAB6,Cytosol
5552,LATS1,O95835,Cytoplasm
5553,LATS1,O95835,Cytoskeleton
5554,LATS1,O95835,Microtubule Organizing Center
5555,LATS1,O95835,Spindle Pole
5557,LATS1,O95835,Cytosol
5567,LATS2,Q9NRM7,Nucleus
5568,LATS2,Q9NRM7,Spindle Pole
5571,LATS2,Q9NRM7,Cytosol
5581,LATS2,Q9NRM7,Centriolar Satellite
5583,LATS2,Q9NRM7,Cytoplasm
5584,LATS2,Q9NRM7,Cytoskeleton
5586,LATS2,Q9NRM7,Microtubule Organizing Center
5591,LCK,P06239,Membrane Raft
5592,LCK,P06239,Plasma Membrane
5593,LCK,P06239,Extracellular Exosome
5596,LCK,P06239,Pericentriolar Material
5599,LCK,P06239,Cytosol
5659,LCK,P06239,Immunological Synapse
5660,LCK,P06239,Cell
5661,LCK,P06239,Cytoplasm
5663,LCK,P06239,Membrane
5667,LIMK1,P53667,Cytoplasm
5668,LIMK1,P53667,Lamellipodium
5669,LIMK1,P53667,Neuron Projection
5672,LIMK1,P53667,Nucleus
5673,LIMK1,P53667,Cytosol
5678,LIMK1,P53667,Nuclear Speck
5682,LIMK1,P53667,Membrane
5683,LIMK1,P53667,Focal Adhesion
5686,LIMK1,P53667,Cell Projection
5688,LIMK1,P53667,Cytoskeleton
5695,LIMK2,P53671,Mitotic Spindle
5696,LIMK2,P53671,Cytoplasm
5698,LIMK2,P53671,Nucleus
5701,LIMK2,P53671,Cis-Golgi Network
5707,LIMK2,P53671,Cytoskeleton
5708,LIMK2,P53671,Spindle
5712,LMTK2,Q8IWU2,Recycling Endosome
5714,LMTK2,Q8IWU2,Perinuclear Region Of Cytoplasm
5716,LMTK2,Q8IWU2,Integral Component Of Membrane
5717,LMTK2,Q8IWU2,Golgi Apparatus
5718,LMTK2,Q8IWU2,Early Endosome
5720,LMTK2,Q8IWU2,Receptor Complex
5721,LMTK2,Q8IWU2,Integral Component Of Plasma Membrane
5722,LMTK2,Q8IWU2,Cytosol
5723,LMTK2,Q8IWU2,Neuronal Cell Body
5724,LMTK2,Q8IWU2,Growth Cone
5726,LMTK2,Q8IWU2,Membrane
5729,LMTK3,Q96Q04,Axon
5730,LMTK3,Q96Q04,Membrane
5731,LMTK3,Q96Q04,Golgi Membrane
5732,LMTK3,Q96Q04,Dendrite
5733,LMTK3,Q96Q04,Cell Projection
5735,LMTK3,Q96Q04,Golgi Apparatus
5736,LMTK3,Q96Q04,Integral Component Of Membrane
5738,LRRK1,Q38SD2,Cytoplasm
5739,LRRK1,Q38SD2,Cytosol
5740,LRRK1,Q38SD2,Mitochondrion
5743,LRRK2,Q5S007,Endoplasmic Reticulum Exit Site
5744,LRRK2,Q5S007,Cytoplasm
5745,LRRK2,Q5S007,Golgi Apparatus
5746,LRRK2,Q5S007,Amphisome
5747,LRRK2,Q5S007,Microvillus
5748,LRRK2,Q5S007,Autolysosome
5749,LRRK2,Q5S007,Multivesicular Body
5750,LRRK2,Q5S007,Internal Vesicle
5751,LRRK2,Q5S007,Endoplasmic Reticulum
5752,LRRK2,Q5S007,Caveola Neck
5753,LRRK2,Q5S007,Neuron Projection
5754,LRRK2,Q5S007,Growth Cone
5755,LRRK2,Q5S007,Cytosol
5756,LRRK2,Q5S007,Plasma Membrane
5757,LRRK2,Q5S007,Wnt Signalosome
5759,LRRK2,Q5S007,Golgi-Associated Vesicle
5761,LRRK2,Q5S007,Terminal Bouton
5763,LRRK2,Q5S007,Cytoplasmic Vesicle
5766,LRRK2,Q5S007,Endosome
5767,LRRK2,Q5S007,Lysosome
5768,LRRK2,Q5S007,Mitochondrial Matrix
5769,LRRK2,Q5S007,Mitochondrial Inner Membrane
5770,LRRK2,Q5S007,Mitochondrial Outer Membrane
5771,LRRK2,Q5S007,Dendrite
5772,LRRK2,Q5S007,Axon
5773,LRRK2,Q5S007,Perikaryon
5774,LRRK2,Q5S007,Mitochondrial Membrane
5775,LRRK2,Q5S007,Inclusion Body
5778,LRRK2,Q5S007,Extracellular Exosome
5779,LRRK2,Q5S007,Extracellular Space
5780,LRRK2,Q5S007,Neuronal Cell Body
5783,LRRK2,Q5S007,Dendrite Cytoplasm
5785,LRRK2,Q5S007,Cytoplasmic Side Of Mitochondrial Outer Membrane
5788,LRRK2,Q5S007,Mitochondrion
5791,LRRK2,Q5S007,Membrane Raft
5803,LRRK2,Q5S007,Intracellular Membrane-Bounded Organelle
5804,LRRK2,Q5S007,Nucleoplasm
5805,LRRK2,Q5S007,Cell
5806,LRRK2,Q5S007,Postsynapse
5808,LRRK2,Q5S007,Synapse
5815,LRRK2,Q5S007,Membrane
5818,LRRK2,Q5S007,Ribonucleoprotein Complex
5819,LRRK2,Q5S007,Presynaptic Cytosol
5820,LRRK2,Q5S007,Glutamatergic Synapse
5826,LRRK2,Q5S007,Synaptic Vesicle
5828,LRRK2,Q5S007,Trans-Golgi Network
5843,LRRK2,Q5S007,Cell Junction
5846,LRRK2,Q5S007,Cell Projection
5848,LRRK2,Q5S007,Synaptic Vesicle Membrane
5850,LRRK2,Q5S007,Golgi Membrane
5851,LRRK2,Q5S007,Endoplasmic Reticulum Membrane
5856,LTK,P29376,Integral Component Of Plasma Membrane
5857,LTK,P29376,Plasma Membrane
5858,LTK,P29376,Membrane
5859,LTK,P29376,Receptor Complex
5861,LTK,P29376,Integral Component Of Membrane
5867,LYN,P07948,Membrane Raft
5868,LYN,P07948,Extracellular Exosome
5869,LYN,P07948,Perinuclear Region Of Cytoplasm
5871,LYN,P07948,Plasma Membrane
5873,LYN,P07948,Golgi Apparatus
5875,LYN,P07948,Cytoplasm
5876,LYN,P07948,Nucleus
5888,LYN,P07948,Cytosol
5937,LYN,P07948,Intracellular Membrane-Bounded Organelle
5940,LYN,P07948,Mast Cell Granule
5942,LYN,P07948,Protein-Containing Complex
5946,LYN,P07948,Postsynaptic Specialization
5947,LYN,P07948,Intracellular Component
5948,LYN,P07948,Glutamatergic Synapse
5951,LYN,P07948,Mitochondrial Membrane
5952,LYN,P07948,Mitochondrial Crista
5953,LYN,P07948,Membrane
5954,LYN,P07948,Postsynaptic Density
5956,LYN,P07948,Mitochondrial Intermembrane Space
5968,MAK,P20794,Spindle
5969,MAK,P20794,Photoreceptor Inner Segment
5970,MAK,P20794,Photoreceptor Outer Segment
5971,MAK,P20794,Nucleus
5972,MAK,P20794,Microtubule Organizing Center
5973,MAK,P20794,Midbody
5974,MAK,P20794,Mitotic Spindle
5976,MAK,P20794,Centrosome
5980,MAK,P20794,Cilium
5981,MAK,P20794,Cytoplasm
5983,MAK,P20794,Photoreceptor Connecting Cilium
5984,MAK,P20794,Motile Cilium
5985,MAK,P20794,Axoneme
5989,MAK,P20794,Cell Projection
5990,MAK,P20794,Cytoskeleton
5993,MAP2K1,Q02750,Focal Adhesion
5994,MAP2K1,Q02750,Cytosol
5995,MAP2K1,Q02750,Golgi Apparatus
5996,MAP2K1,Q02750,Late Endosome
5997,MAP2K1,Q02750,Early Endosome
5998,MAP2K1,Q02750,Mitochondrion
5999,MAP2K1,Q02750,Nucleus
6000,MAP2K1,Q02750,Cytoplasm
6035,MAP2K1,Q02750,Endoplasmic Reticulum
6036,MAP2K1,Q02750,Plasma Membrane
6039,MAP2K1,Q02750,Cytoskeleton
6041,MAP2K1,Q02750,Membrane
6042,MAP2K1,Q02750,Microtubule Organizing Center
6047,MAP2K2,P36507,Perinuclear Region Of Cytoplasm
6048,MAP2K2,P36507,Cytoplasmic Side Of Plasma Membrane
6049,MAP2K2,P36507,Focal Adhesion
6050,MAP2K2,P36507,Cell-Cell Junction
6051,MAP2K2,P36507,Microtubule
6052,MAP2K2,P36507,Cytosol
6053,MAP2K2,P36507,Golgi Apparatus
6055,MAP2K2,P36507,Endoplasmic Reticulum
6056,MAP2K2,P36507,Peroxisomal Membrane
6057,MAP2K2,P36507,Late Endosome
6058,MAP2K2,P36507,Early Endosome
6059,MAP2K2,P36507,Mitochondrion
6060,MAP2K2,P36507,Nucleus
6061,MAP2K2,P36507,Extracellular Region
6062,MAP2K2,P36507,Cytoplasm
6096,MAP2K2,P36507,Membrane
6101,MAP2K3,P46734,Membrane
6102,MAP2K3,P46734,Cytoplasm
6103,MAP2K3,P46734,Cytosol
6107,MAP2K3,P46734,Nucleoplasm
6111,MAP2K4,P45985,Nucleus
6112,MAP2K4,P45985,Cytoplasm
6116,MAP2K4,P45985,Cytosol
6120,MAP2K4,P45985,Perikaryon
6121,MAP2K4,P45985,Dendrite Cytoplasm
6122,MAP2K4,P45985,Axon
6126,MAP2K5,Q13163,Cytoplasm
6127,MAP2K5,Q13163,Cytosol
6128,MAP2K5,Q13163,Nucleus
6129,MAP2K5,Q13163,Spindle
6131,MAP2K6,P52564,Cytoplasm
6132,MAP2K6,P52564,Cytosol
6138,MAP2K6,P52564,Nucleoplasm
6144,MAP2K6,P52564,Cytoskeleton
6146,MAP2K6,P52564,Nucleus
6151,MAP2K7,O14733,Cytoplasm
6152,MAP2K7,O14733,Nucleus
6154,MAP2K7,O14733,Cytosol
6163,MAP3K1,Q13233,Cytoplasm
