Uniprot_number,Gene_name,Protein_name,Gene_aliases,Uniprot_entry
Q96KG9,SCYL1,N-terminal kinase-like protein,"['SCYL1', 'CVAK90', 'GKLP', 'NTKL', 'TAPK', 'TEIF', 'TRAP', 'HT019']",SCYL1_HUMAN
Q6P3W7,SCYL2,SCY1-like protein 2,"['SCYL2', 'CVAK104', 'KIAA1360']",SCYL2_HUMAN
Q8IZE3,SCYL3,Protein-associating with the carboxyl-terminal domain of ezrin,"['SCYL3', 'PACE1']",PACE1_HUMAN
O75716,STK16,Serine/threonine-protein kinase 16,"['STK16', 'MPSK1', 'PKL12', 'TSF1']",STK16_HUMAN
Q9BXU1,STK31,Serine/threonine-protein kinase 31,"['STK31', 'SGK396']",STK31_HUMAN
Q8WU08,STK32A,Serine/threonine-protein kinase 32A,"['STK32A', 'YANK1']",ST32A_HUMAN
Q9NY57,STK32B,Serine/threonine-protein kinase 32B,"['STK32B', 'YANK2', 'UNQ3003/PRO9744']",ST32B_HUMAN
Q86UX6,STK32C,Serine/threonine-protein kinase 32C,"['STK32C', 'YANK3']",ST32C_HUMAN
Q8TDR2,STK35,Serine/threonine-protein kinase 35,"['STK35', 'CLIK1', 'PDIK1', 'STK35L1']",STK35_HUMAN
Q9NRP7,STK36,Serine/threonine-protein kinase 36,"['STK36', 'KIAA1278']",STK36_HUMAN
Q8NE28,STKLD1,Serine/threonine kinase-like domain-containing protein STKLD1,"['STKLD1', 'C9orf96', 'SGK071']",STKL1_HUMAN
Q8TEA7,TBCK,TBC domain-containing protein kinase-like protein,"['TBCK', 'TBCKL', 'HSPC302']",TBCK_HUMAN
Q9UHD2,TBK1,Serine/threonine-protein kinase TBK1,"['TBK1', 'NAK']",TBK1_HUMAN
Q8IWB6,TEX14,Inactive serine/threonine-protein kinase TEX14,"['TEX14', 'SGK307']",TEX14_HUMAN
Q9UKI8,TLK1,Serine/threonine-protein kinase tousled-like 1,"['TLK1', 'KIAA0137']",TLK1_HUMAN
Q86UE8,TLK2,Serine/threonine-protein kinase tousled-like 2,['TLK2'],TLK2_HUMAN
Q96S44,TP53RK,EKC/KEOPS complex subunit TP53RK,"['TP53RK', 'C20orf64', 'PRPK']",PRPK_HUMAN
P33981,TTK,Dual specificity protein kinase TTK,"['TTK', 'MPS1', 'MPS1L1']",TTK_HUMAN
Q8TAS1,UHMK1,Serine/threonine-protein kinase Kist,"['UHMK1', 'KIS', 'KIST']",UHMK1_HUMAN
O75385,ULK1,Serine/threonine-protein kinase ULK1,"['ULK1', 'KIAA0722']",ULK1_HUMAN
Q8IYT8,ULK2,Serine/threonine-protein kinase ULK2,"['ULK2', 'KIAA0623']",ULK2_HUMAN
Q6PHR2,ULK3,Serine/threonine-protein kinase ULK3,['ULK3'],ULK3_HUMAN
Q96C45,ULK4,Serine/threonine-protein kinase ULK4,['ULK4'],ULK4_HUMAN
P30291,WEE1,Wee1-like protein kinase,['WEE1'],WEE1_HUMAN
P0C1S8,WEE2,Wee1-like protein kinase 2,"['WEE2', 'WEE1B']",WEE2_HUMAN
Q9H4A3,WNK1,Serine/threonine-protein kinase WNK1,"['WNK1', 'HSN2', 'KDP', 'KIAA0344', 'PRKWNK1']",WNK1_HUMAN
Q9Y3S1,WNK2,Serine/threonine-protein kinase WNK2,"['WNK2', 'KIAA1760', 'PRKWNK2', 'SDCCAG43', 'P/OKcl.13']",WNK2_HUMAN
Q9BYP7,WNK3,Serine/threonine-protein kinase WNK3,"['WNK3', 'KIAA1566', 'PRKWNK3']",WNK3_HUMAN
Q96J92,WNK4,Serine/threonine-protein kinase WNK4,"['WNK4', 'PRKWNK4']",WNK4_HUMAN
Q86TW2,ADCK1,AarF domain-containing protein kinase 1,['ADCK1'],ADCK1_HUMAN
Q7Z695,ADCK2,Uncharacterized aarF domain-containing protein kinase 2,"['ADCK2', 'AARF']",ADCK2_HUMAN
Q3MIX3,ADCK5,Uncharacterized aarF domain-containing protein kinase 5,['ADCK5'],ADCK5_HUMAN
Q8NI60,COQ8A,"Atypical kinase COQ8A, mitochondrial","['COQ8A', 'ADCK3', 'CABC1', 'PP265']",COQ8A_HUMAN
Q96D53,COQ8B,"Atypical kinase COQ8B, mitochondrial","['COQ8B', 'ADCK4']",COQ8B_HUMAN
Q96QP1,ALPK1,Alpha-protein kinase 1,"['ALPK1', 'KIAA1527', 'LAK']",ALPK1_HUMAN
Q86TB3,ALPK2,Alpha-protein kinase 2,"['ALPK2', 'HAK']",ALPK2_HUMAN
Q96L96,ALPK3,Alpha-protein kinase 3,"['ALPK3', 'KIAA1330', 'MAK']",ALPK3_HUMAN
O00418,EEF2K,Eukaryotic elongation factor 2 kinase,['EEF2K'],EF2K_HUMAN
Q9BX84,TRPM6,Transient receptor potential cation channel subfamily M member 6,"['TRPM6', 'CHAK2']",TRPM6_HUMAN
Q96QT4,TRPM7,Transient receptor potential cation channel subfamily M member 7,"['TRPM7', 'CHAK1', 'LTRPC7']",TRPM7_HUMAN
Q14296,FASTK,Fas-activated serine/threonine kinase,['FASTK'],FASTK_HUMAN
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",['BCKDK'],BCKD_HUMAN
Q15118,PDK1,[Pyruvate dehydrogenase,"['PDK1', 'PDHK1']",PDK1_HUMAN
Q15119,PDK2,[Pyruvate dehydrogenase,"['PDK2', 'PDHK2']",PDK2_HUMAN
Q15120,PDK3,[Pyruvate dehydrogenase,"['PDK3', 'PDHK3']",PDK3_HUMAN
Q16654,PDK4,[Pyruvate dehydrogenase,"['PDK4', 'PDHK4']",PDK4_HUMAN
Q13315,ATM,Serine-protein kinase ATM,['ATM'],ATM_HUMAN
Q13535,ATR,Serine/threonine-protein kinase ATR,"['ATR', 'FRP1']",ATR_HUMAN
P42345,MTOR,Serine/threonine-protein kinase mTOR,"['MTOR', 'FRAP', 'FRAP1', 'FRAP2', 'RAFT1', 'RAPT1']",MTOR_HUMAN
P42336,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",['PIK3CA'],PK3CA_HUMAN
P42338,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform","['PIK3CB', 'PIK3C1']",PK3CB_HUMAN
O00329,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",['PIK3CD'],PK3CD_HUMAN
P48736,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",['PIK3CG'],PK3CG_HUMAN
P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,"['PRKDC', 'HYRC', 'HYRC1']",PRKDC_HUMAN
Q96Q15,SMG1,Serine/threonine-protein kinase SMG1,"['SMG1', 'ATX', 'KIAA0421', 'LIP']",SMG1_HUMAN
Q9BRS2,RIOK1,Serine/threonine-protein kinase RIO1,"['RIOK1', 'RIO1']",RIOK1_HUMAN
Q9BVS4,RIOK2,Serine/threonine-protein kinase RIO2,"['RIOK2', 'RIO2']",RIOK2_HUMAN
O14730,RIOK3,Serine/threonine-protein kinase RIO3,"['RIOK3', 'SUDD']",RIOK3_HUMAN
